"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\constants\colors.dart", "Dart", 14, 1, 2, 17
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\constants\instruction_and_questions.dart", "Dart", 300, 20, 19, 339
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\main.dart", "Dart", 88, 46, 4, 138
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\data_gathering\compensation_form.dart", "Dart", 107, 6, 7, 120
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\data_gathering\ic_document_form.dart", "Dart", 115, 13, 11, 139
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\data_gathering\ic_signiture.dart", "Dart", 125, 15, 14, 154
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\data_gathering\intake_form_screen.dart", "Dart", 207, 13, 15, 235
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\data_gathering\m_chatR_form_screen.dart", "Dart", 183, 17, 18, 218
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\data_gathering\video_player_screen.dart", "Dart", 76, 5, 8, 89
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\data_gathering\video_recording_menu.dart", "Dart", 113, 0, 10, 123
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\data_gathering\video_recording_section_screen.dart", "Dart", 280, 39, 19, 338
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\help_screens\help_screen.dart", "Dart", 82, 7, 3, 92
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\information_screens\final_screen.dart", "Dart", 95, 4, 8, 107
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\information_screens\home_screen.dart", "Dart", 100, 3, 2, 105
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\information_screens\ic_document_screen.dart", "Dart", 73, 10, 7, 90
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\information_screens\video_section_info_screen.dart", "Dart", 855, 3, 15, 873
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\screens\other\no_camera_error_screen.dart", "Dart", 19, 0, 3, 22
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\uploading\firebase_options.dart", "Dart", 53, 12, 4, 69
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\uploading\read_from_firebase.dart", "Dart", 16, 0, 1, 17
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\uploading\upload_to_firebase.dart", "Dart", 42, 7, 3, 52
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\uploading\user_class.dart", "Dart", 193, 25, 26, 244
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\widgets\button\back_button.dart", "Dart", 18, 5, 3, 26
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\widgets\button\help_button.dart", "Dart", 22, 6, 3, 31
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\widgets\button\next_button.dart", "Dart", 42, 7, 4, 53
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\widgets\button\reset_button.dart", "Dart", 32, 3, 4, 39
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\widgets\other\progress_bar.dart", "Dart", 67, 10, 5, 82
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\widgets\other\text_types.dart", "Dart", 326, 14, 30, 370
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\widgets\other\video_item.dart", "Dart", 80, 0, 5, 85
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\widgets\questions\choose_all_question_widget.dart", "Dart", 48, 13, 3, 64
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\widgets\questions\mutliple_choice_question_widget.dart", "Dart", 43, 5, 4, 52
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\widgets\questions\radio_multiple_choice_question_widget.dart", "Dart", 40, 5, 4, 49
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\widgets\questions\short_answer_question_widget.dart", "Dart", 67, 13, 9, 89
"c:\Users\kevin\flutter_apps\autismAIApp\autism_ai_test-1\lib\widgets\questions\signiture_question_widget.dart", "Dart", 104, 16, 8, 128
"Total", "-", 4025, 343, 281, 4649
